[I 12:56:29.126 NotebookApp] Serving notebooks from local directory: /home/sniper/work/test_suit/selenium
[I 12:56:29.126 NotebookApp] Jupyter Notebook 6.4.6 is running at:
[I 12:56:29.126 NotebookApp] http://localhost:8888/?token=495a550874e4c39175545ff9d9a73f570713ad35d850bfba
[I 12:56:29.126 NotebookApp]  or http://127.0.0.1:8888/?token=495a550874e4c39175545ff9d9a73f570713ad35d850bfba
[I 12:56:29.126 NotebookApp] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[C 12:56:29.153 NotebookApp] 
    
    To access the notebook, open this file in a browser:
        file:///home/sniper/.local/share/jupyter/runtime/nbserver-12833-open.html
    Or copy and paste one of these URLs:
        http://localhost:8888/?token=495a550874e4c39175545ff9d9a73f570713ad35d850bfba
     or http://127.0.0.1:8888/?token=495a550874e4c39175545ff9d9a73f570713ad35d850bfba
[I 12:56:36.779 NotebookApp] Creating new notebook in 
[I 13:07:27.176 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:07:27.389 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:07:29.983 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:07:32.240 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:07:32.422 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:09:53.100 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:09:53.290 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:09:54.168 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:09:54.745 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:09:54.931 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:09:55.799 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:09:56.005 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:09:56.850 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:28:10.786 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:28:35.042 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:30:38.466 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:32:23.165 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:32:38.465 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:34:34.193 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:35:25.040 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:35:40.684 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 13:35:43.511 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:23:39.067 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:23:39.235 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:24:38.509 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:24:45.211 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:24:45.427 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:25:45.535 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:25:48.679 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:27:27.464 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:27:27.622 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:32:03.214 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:32:58.234 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 15:33:01.721 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:03:38.640 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:03:38.804 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:04:04.066 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:04:04.217 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:04:07.388 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:04:10.037 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:04:50.059 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:12:35.368 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:24:38.520 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:24:39.447 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:36.738 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:36.896 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:39.602 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:39.782 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:39.951 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:40.130 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:40.307 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:40.462 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:40.624 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:40.812 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:29:44.946 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 16:30:17.188 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:24:13.050 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:24:13.220 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:24:38.546 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:24:41.072 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:24:41.262 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:24:43.806 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:24:59.985 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:25:14.790 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:25:29.313 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:25:43.803 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:25:51.550 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:26:12.203 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:26:14.293 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:26:27.363 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:26:38.546 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:26:43.353 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:27:01.517 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:27:06.698 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:29:15.005 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:29:15.197 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:30:04.064 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:30:21.989 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:30:22.133 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:30:34.998 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:37:36.860 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:38:34.466 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:38:34.634 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:38:37.928 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:40:20.692 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:40:20.833 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:40:24.459 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:40:38.943 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:40:41.630 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:40:41.774 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:40:57.987 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:42:20.489 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:49:43.987 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:50:26.112 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:50:38.946 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:50:47.801 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:50:47.962 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:50:51.204 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:50:51.323 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:52:59.153 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:52:59.351 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:53:28.273 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:53:28.485 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:53:28.652 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:53:39.288 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:53:51.549 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:54:00.972 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:54:01.213 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:54:25.950 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:54:34.559 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:54:34.746 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 19:58:06.583 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:00:38.949 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:01:50.896 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:02:13.766 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:02:25.447 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:02:35.059 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:02:38.948 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:02:39.225 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:02:58.398 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:03:02.206 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:04:34.136 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:05:25.354 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:05:27.764 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:05:28.037 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:06:02.162 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:07:11.927 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:07:12.092 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:07:52.642 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:07:52.826 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:07:52.983 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:08:38.947 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:08:47.902 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:09:51.134 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:10:14.494 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:10:38.948 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:11:40.202 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:11:40.407 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:11:54.323 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:12:38.947 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:13:20.747 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:13:20.917 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:10.467 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:10.926 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:21.641 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:21.836 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:28.325 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:28.493 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:33.476 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:39.922 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:46.731 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:14:46.893 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:15:19.744 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:15:19.886 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:15:36.772 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:15:58.977 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:16:01.825 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:16:02.045 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:54:22.165 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:54:23.031 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:54:24.297 NotebookApp] Saving file at /selenium_test_casesV1_1.ipynb
[I 20:54:28.378 NotebookApp] Starting buffering for f167ffd0-1a4a-4aa8-83cc-803d0376230d:3ddb0fa41cf640d495aca425dff230d1
